SkillList
"Java,J2EE,Cloud"
Kafka
"ETL,AWS Redshift,PYTHON"
"Agile,ETL,AWS Redshift,PYTHON"
"REST API,Java & Thunderhead,Spring Security,J2EE"
BPM
"Java,JavaScript"
"Java,JavaScript"
"(D) Capital Markets Sector,Financial Services"
MF
"Java (Multi Skilled),Java"
Oracle Sales
"(T) Project Tools, Methodologies and Frameworks"
Sourcing
Sourcing
Sourcing
(T) Data and Semantic Modelling
Vision Plus
"Project Management Framework,Visa H-1B (United States)"
Enterprise Solution
Hyperion Financial Management
Java
Fundtech - Global PayPlus (GPP)
J2EE
Pega
Java
Java
DB2 Tools & Utilities
Business Consulting
Acquiring
Selenium
Selenium
Guidewire
Guidewire BillingCenter
Temenos
"Java (Multi Skilled),Java"
"Java (Multi Skilled),Java"
Business Analytics
Java
Angular.js
Pega
Actimize
Pega
"Ajax,JSON,HTML,Angular.js,JavaScript,Backbone.js"
"Selenium,Test Automation,Cucumber, Behat,Webservices"
"Java,SQL,Hibernate,Spring Batch,Spring Security"
"Selenium,VB Script,HP Unified Functional Testing (UFT),Webservices,Quality Centre,Quick Test Pro,Java"
Case Management
EXTJS
"PL SQL,ETL,Unix Shellscript,MSBI"
"Selenium,Keynote DeviceAnywhere"
"Selenium,Keynote DeviceAnywhere"
Ab Initio
"JPA,Spring Integration,Amazon Web services - Build , Administration and integration,Spring Batch,Hibernate,Core Java"
Finacle
Mainframe DB2
"Java,Spring,Mulesoft API"
Mulesoft ESB
"Microsoft,ADO.NET,C#,Microsoft SQL Server,C,Webservices,ASP.NET"
Capital markets - Wealth Management
"Unix,Perl"
"Java,Angular.js"
ETL Testing
Functional Testing
"SAP CRM,CS-CRM"
Business Analytics
"Angular.js,Webservices"
"Spring,Core Java"
"Microsoft SQL Server,Banking,Core Java"
"Banking,Temenos"
"API Integrations- REST, SOAP , Powershell,Apigee"
"Java,Selenium,Insurance Functional Testing"
"(T) Project Tools, Methodologies and Frameworks"
"(T) Project Tools, Methodologies and Frameworks,UAT,(T) Mobile Development Technologies,Pega"
Selenium
Angular.js
Test Automation
Axiom
IBM
Ab Initio
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Selenium,TOSCA"
PeopleSoft Technical
Spring Batch
"Java,API Integrations- REST, SOAP , Powershell"
Agile
Ab Initio
EXTJS
"Java (Multi Skilled),Java"
"Java,Angular.js,JavaScript,Spring,CSS,HTML,JavaScript UI"
"SOA,Webservices,LISA"
Java
"PYTHON,Mainframe - Storage & Backup,AWS Redshift"
Temenos
BPM
Mulesoft ESB
BPM
Pega
Angular.js
"Vision Plus,VisionPlus FAS"
Selenium
"Financial Services,Banking - Payments"
MF
UIAutomation
Sourcing
"(T) Project Tools, Methodologies and Frameworks"
Sourcing
Sourcing
Sourcing
(T) Data Integration
Thunderhead
"SQL,Java (Multi Skilled),Java"
ETL
"(Consulting) - Business Analysis, Requirements"
Java (Multi Skilled)
Tableau
Robotic Business Process
"Performance Testing,CRM – MS Dynamics CRM"
"Performance Testing,CRM – MS Dynamics CRM"
(T) Testing Tools / Testing Automation / Performance Testing Tools
Angular.js
"Amazon Web services - Build , Administration and integration"
SQL REPORTING SERVICES
Tableau
HP Exstream
"Java,J2EE Design patterns"
Web Development
(T) Mobile Device Management
IBM WebSphere (WAS)
Java
Selenium
"J2EE,Java (Multi Skilled),Java,Filenet"
"Webservices,English"
Pivotal Cloud Foundry  - Build and Administration
Functional Testing
TANDEM
Testing Manual
Informatica MDM (formerly Syperian)
ETL Testing
"Business Analytics,Cards Issuing"
"Core Java,Java"
Java
"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java"
"COBOL,Mainframe Development Environment"
"Amazon Web services - Build , Administration and integration"
Pega
SAS
Testing Manual
Guidewire
Test Automation
Web Development
Hadoop
Guidewire
Angular.js
BPM
Java
Kafka
Mainframe Development Environment
Temenos
UI
C# .NET
"Test Director,Quality (CMMi Model),Quality,ETL Testing,Quality (CSQA certification),Microsoft.Net,Test Case Execution"
Ab Initio
"Business Analytics,Cards Issuing"
Java
Portfolio Management
.Net with MVC
"Agile,Scrum"
"Test Automation,Cucumber, Behat,Java 7,Selenium"
"Java (Multi Skilled),Java,Pega"
BLUE PRISM
Java
"Java,J2EE,Cloud"
"Java,Selenium,Test Automation,C#,Cucumber, Behat"
Selenium
"Selenium,Test Automation,Cucumber, Behat,Java 7"
"Selenium,Test Automation,Cucumber, Behat,Java 7"
