SkillList
"Pivotal Cloud Foundry  - Build and Administration,Amazon Web services - Build , Administration and integration,Hibernate,Spring,Core Java"
Ab Initio
Quick Test Pro
"Java (Multi Skilled),Java"
"(T) Project Tools, Methodologies and Frameworks"
Informatica BI
Informatica PowerCenter
Perfecto Mobile Cloud
Vision Plus
Informatica PowerCenter
"ASP.NET,Microsoft SQL Server,ADO.NET"
Cognos
IBM Datastage
BLUE PRISM
"Microsoft,ADO.NET,ASP.NET,C#,Microsoft SQL Server,C,Webservices,.Net with MVC"
"Microsoft Azure - Build , Administration and integration"
OpenText
Selenium
"CISCO Unified Contact Center,Computer Tele Integration (CTI) - Genesys"
Test Automation
AutomationAnywhere
Salesforce (Technical)
"Test Case Execution,Quick Test Pro"
Testing Manual
Guidewire
Guidewire
Guidewire
Angular.js
Angular.js
P&C Insurance
"Microsoft Azure - Build , Administration and integration"
Business Analytics
MS SQL Server - SSIS
CRM - Salesforce.com
"C#,C,Test Automation,Selenium"
Business Analytics
"Java,SQL,Hibernate,Spring Batch,Spring Security"
"Java,SQL,Hibernate,Spring Batch,Spring Security"
"Process,Windows,Agile,SQL,Quality Assurance"
Ab Initio
Pega
Core Java
Actimize
Finacle
Angular.js
Java (Multi Skilled)
"Splunk,SQL,LOAD RUNNER"
"JSON,JavaScript,Adobe"
Functional Testing
Banking
C#
"Spring,Core Java"
"PeopleSoft HRMS (HCM),Peoplesoft (ERP)"
"Angular.js,Java (Multi Skilled),Java"
"SAS,SAS Programming - Base & Advance,Banking"
Marketing
.Net (WF)
PMO (Project)
Angular.js
MS/Windows Dev OPS
Ab Initio
Ab Initio
"Selenium,Test Automation,Cucumber, Behat,Java 7"
"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Selenium,Functional Testing"
Oracle 9i
Java
Selenium
"Java,API Integrations- REST, SOAP , Powershell"
"Business Analytics,Cards Issuing"
"Java,J2EE,Cloud"
"Business Analytics,Cards Issuing"
"SOA,Webservices,LISA"
"Amazon Web services - Build , Administration and integration"
Java (Multi Skilled)
Adobe
"Hibernate,Spring,Java (Multi Skilled),Java"
Ab Initio
"(T) Project Tools, Methodologies and Frameworks"
Microsoft.Net
"Business Strategy Formulation,Business Consulting,SC-Strategy & Transformation"
Sourcing
Vision Plus
Testing Manual
UiPath
Siebel
Business Objects
Agile
Tableau
Mulesoft ESB
J2EE
"Java (Multi Skilled),Java"
(T) Data Science and Analytics
Selenium
ETL Testing
Guidewire
Web Development
Websphere Portal Server
"Agile,Mainframe applications,Python 2.5x programming"
(T) Data Integration
Java
Angular.js
Java
Agile
Finacle
"Business Operations,Banking"
"Business Analytics,Cards Issuing"
Java
Test Automation
SQL REPORTING SERVICES
"Business Analytics,Cards Issuing"
PeopleSoft Technical
SAS
Spring
Guidewire
(T) Testing Tools / Testing Automation / Performance Testing Tools
"Business Analytics,Cards Issuing"
.Net (WPF)
Keynote DeviceAnywhere
BPM
"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium"
MS/Windows Dev OPS
MS/Windows Dev OPS
PMO (Project)
SAS
"Test Environment Management,Peoplesoft (ERP)"
"Test Environment Management,Peoplesoft (ERP)"
Testing Manual
Cards Issuing
"Selenium,Guidewire,SOAP UI PRO,Insurance"
"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java"
"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java"
Temenos
Kafka
Temenos
Pega
Business Analytics
"C#,jQuery,C,Angular.js,.Net with MVC"
Functional Testing
Java
"Java,Selenium,Test Automation,C#,Cucumber, Behat"
"Unix,Java"
Informatica PowerCenter ETL
Java
C# .NET
"ETL,AWS Redshift,PYTHON"
"SOA,Webservices,LISA"
Spring Batch
Testing Manual
"API Integrations- REST, SOAP , Powershell"
"API Integrations- REST, SOAP , Powershell"
"API Integrations- REST, SOAP , Powershell"
"API Integrations- REST, SOAP , Powershell"
"API Integrations- REST, SOAP , Powershell"
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Adobe
Adobe
Adobe
Adobe
Adobe
Agile
Agile
Agile
"Amazon Web services - Build , Administration and integration"
"Amazon Web services - Build , Administration and integration"
"Amazon Web services - Build , Administration and integration"
"Amazon Web services - Build , Administration and integration"
"Amazon Web services - Build , Administration and integration"
Angular.js
Angular.js
Angular.js
Angular.js
Angular.js
Angular.js
Angular.js
Angular.js
Axiom
Axiom
Axiom
Business Analytics
Business Analytics
Business Analytics
Business Analytics
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
CRM - Salesforce.com
CRM - Salesforce.com
CRM - Salesforce.com
