SkillList
"Java,J2EE,Cloud"
Kafka
"ETL,AWS Redshift,PYTHON"
"REST API,Java & Thunderhead,Spring Security,J2EE"
BPM
"Java,JavaScript"
"Java,JavaScript"
"Java (Multi Skilled),Java"
Oracle Sales
"(T) Project Tools, Methodologies and Frameworks"
Sourcing
Sourcing
Sourcing
(T) Data and Semantic Modelling
Vision Plus
"Project Management Framework,Visa H-1B (United States)"
Enterprise Solution
Java
Fundtech - Global PayPlus (GPP)
J2EE
Pega
Java
Java
DB2 Tools & Utilities
Business Consulting
Acquiring
Selenium
Selenium
Guidewire
Guidewire BillingCenter
Temenos
"Java (Multi Skilled),Java"
"Java (Multi Skilled),Java"
Business Analytics
Java
Angular.js
Pega
Pega
"Ajax,JSON,HTML,Angular.js,JavaScript,Backbone.js"
"Selenium,Test Automation,Cucumber, Behat,Webservices"
"Java,SQL,Hibernate,Spring Batch,Spring Security"
"Selenium,VB Script,HP Unified Functional Testing (UFT),Webservices,Quality Centre,Quick Test Pro,Java"
Case Management
EXTJS
"PL SQL,ETL,Unix Shellscript,MSBI"
"Selenium,Keynote DeviceAnywhere"
"Selenium,Keynote DeviceAnywhere"
Ab Initio
"JPA,Spring Integration,Amazon Web services - Build , Administration and integration,Spring Batch,Hibernate,Core Java"
Finacle
Mainframe DB2
"Java,Spring,Mulesoft API"
"Microsoft,ADO.NET,C#,Microsoft SQL Server,C,Webservices,ASP.NET"
Capital markets - Wealth Management
"Unix,Perl"
"Java,Angular.js"
ETL Testing
Functional Testing
"SAP CRM,CS-CRM"
Business Analytics
"Angular.js,Webservices"
"Spring,Core Java"
"Microsoft SQL Server,Banking,Core Java"
"Banking,Temenos"
"API Integrations- REST, SOAP , Powershell,Apigee"
"Java,Selenium,Insurance Functional Testing"
"(T) Project Tools, Methodologies and Frameworks"
"(T) Project Tools, Methodologies and Frameworks,UAT,(T) Mobile Development Technologies,Pega"
Selenium
Angular.js
Test Automation
Axiom
IBM
Ab Initio
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Selenium,TOSCA"
Spring Batch
"Java,API Integrations- REST, SOAP , Powershell"
Agile
Ab Initio
EXTJS
"Java (Multi Skilled),Java"
"Java,Angular.js,JavaScript,Spring,CSS,HTML,JavaScript UI"
"SOA,Webservices,LISA"
Java
"PYTHON,Mainframe - Storage & Backup,AWS Redshift"
Temenos
BPM
Mulesoft ESB
BPM
Pega
Angular.js
"Vision Plus,VisionPlus FAS"
Selenium
"Financial Services,Banking - Payments"
UIAutomation
Sourcing
