SkillList
"Mainframe Database - DB2 (z/OS),COBOL 85"
"Selenium,Quick Test Pro"
"Selenium,Quick Test Pro"
"Java,Unix,Agile,(Architecture) - Architecture, Solution Designing, Farm Structure/Topology,Mainframe Environment,Redhat Satellite Server Administration"
"Angular.js,CSS,HTML"
"Business Analytics,Cards Issuing"
"Project Management Framework,JDE Project Management Contract and Service Billing"
Kafka
"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java"
Spring
"Banking - Payments,Financial Services"
BLUE PRISM
"Java,JavaScript"
(T) Mobile Development Technologies
"English,Sourcing"
"Java (Multi Skilled),Java"
"Java (Multi Skilled),Java"
Adobe Photoshop
"Financial Reporting (F&A),Financial Planning"
Immigration
"Windows Batch, ksh (Unix/Linux), Perl,Java/Perl"
UiPath
Informatica PowerCenter
Selenium
Quality Assurance
Backbase
Backbase
Selenium
Cloud
Fundtech - Global PayPlus (GPP)
Mulesoft API
J2EE
"Functional Testing,MS VSTS Coded UI,CRM – MS Dynamics CRM,Banking,Selenium"
Pega
"Hadoop-HIVE,Hadoop-PIG,Hadoop-Spark"
Java
Selenium
Guidewire
P&C Insurance
Content Management
Content Management
.Net Legacy
Microsoft.Net
Business Analytics
Informatica BI
Performance Testing
"Functional Testing,Trade Finance"
PMO (Account)
UiPath
Java
Angular.js
Testing - ETL
Informatica PowerCenter
Service Now
"MAVEN,Jenkins,Agile,Spring,Java (Multi Skilled),Java"
"Informatica BI,Test Planning,Perl,Test Reporting,Test Case Execution,Unix,ETL"
"Test Management,Testing Manual,Functional Testing"
"Ab Initio,ETL Testing"
.Net with MVC
SAP ABAP
Hadoop-Spark
Angular.js
SAS
SAS
"Webservices,JavaScript"
"Java,Selenium,Webservices"
"MongoDB,Microsoft.Net,Hadoop"
.Net (WPF)
"HTML,JavaScript,SQL,Angular.js"
".Net (WPF),Angular.js,.Net 3.0 ( WCF.WPF,WF)"
Peoplesoft (ERP)
Peoplesoft (ERP)
C++
"XML,Spring,SQL,Core Java"
Temenos
"Banking,Temenos"
"BigData,J2EE,Banking,Java (Multi Skilled),Java"
Flex Cube
.Net (WF)
Informatica MDM (formerly Syperian)
MS/Windows Dev OPS
PMO (Project)
ETL Testing
ETL Testing
"Guidewire,ETL Testing,Insurance"
Ab Initio
Teradata
"Automation - Chef, Puppet"
BPM
C# .NET
Test Automation
Kafka
"Selenium,TOSCA"
Guidewire PolicyCenter
Java
Java
.Net (WF)
SAS Enterprise Guide
"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java"
Pega
Pega
Mulesoft ESB
Mulesoft ESB
"(T) Project Tools, Methodologies and Frameworks"
"(T) Project Tools, Methodologies and Frameworks"
Financial Accounting
"English,Microsoft Office"
"Java (Multi Skilled),Java"
Informatica BI
Informatica PowerCenter
Salesforce (Functional)
Thunderhead
"Unix,Informatica BI,Pivotal Greenplum,Oracle Analytics"
.Net (WF)
Java (Multi Skilled)
ETL
Cognos
Mulesoft ESB
Performance Testing
Salesforce (Technical)
Salesforce (Technical)
Selenium
"LOAD RUNNER,Load Testing"
(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience
Selenium
ETL Testing
"Java,Insurance"
"Java,Insurance"
"Java,Insurance"
Guidewire
ElasticSearch
TOSCA
"Banking - Payments,(Consulting) - Business Analysis, Requirements"
"Project Management Framework,Scrum,SAS"
Selenium
(T) Mobile Device Management
"Spring Batch,Pivotal Cloud Foundry  - Build and Administration"
(T) Testing Tools / Testing Automation / Performance Testing Tools
ETL Testing
Fundtech - Global PayPlus (GPP)
Mainframe DB2
"Quick Test Pro,Quality Centre,Selenium,Test Automation"
IBM Datastage
Guidewire
"Java,J2EE Design patterns"
Java (Multi Skilled)
Agile
Java (Multi Skilled)
Angular.js
C++
Perl Scripting
Java
Web Development
Agile
Java
"Amazon Web services - Build , Administration and integration"
Ab Initio
Adobe
Angular.js
Java
PMO (Project)
PMO (Project)
Power Designer Data Architect
"SOA,Webservices,LISA"
Temenos
Testing Manual
UI
