SkillList
"Microsoft,ASP.NET,ADO.NET,C#,Microsoft SQL Server,C,Webservices,.Net with MVC"
"Spring Batch,API Integrations- REST, SOAP , Powershell,Microservices Architecture"
"SQL,.Net with MVC"
"ETL,AWS Redshift,PYTHON"
"JavaScript,Java Server Pages (JSP)"
CRM - Salesforce.com
.Net (WF)
Cards Acquiring
Testing Manual
Testing Manual
Peoplesoft (ERP)
