SkillList
"J2EE,Spring,Hibernate,Agile"
"Java,Spring,Hibernate"
Keynote DeviceAnywhere
BLUE PRISM
Microsoft.Net
Microsoft.Net
Microsoft.Net
"Marketing,Sourcing"
Microsoft.Net
Supply Chain Management
"Oracle RDBMS,QlikView,Data Warehousing,SQL,Business Intelligence (BI),ETL"
Informatica BI
SQL
Informatica BI
"Cloud,SQL,Java"
Project Management Framework
Business Analytics
Capital markets - Trading
Performance Testing
Java
Java
Selenium
Java
Selenium
Testing - ETL
Guidewire
Project Management Framework
"Java (Multi Skilled),Java"
Java
.Net 2.1
Identity & Access Management (IAM)
Performance Testing
Selenium
Guidewire PolicyCenter
"J2EE,Java (Multi Skilled),Java,Filenet"
Java
User Experience
UiPath
"Microsoft Azure,Angular.js"
(T) Testing Tools / Testing Automation / Performance Testing Tools
"Test Management,Testing Manual,Functional Testing"
"API Integrations- REST, SOAP , Powershell,Java"
"Selenium,Test Automation,Cucumber, Behat,Webservices"
Jenkins
"Java (Multi Skilled),SQL,Spring,Hibernate,Core Java(Threading,Java Collection,Exception,OOPS)"
ETL
"Data Warehousing,SQL,Tableau"
"Java (Multi Skilled),XSLT1.0,Microsoft SQL Server,Java,Actimize"
SAP ABAP
"BigData,Hadoop"
Hadoop-Spark
"Java,Spring"
Mulesoft ESB
Mulesoft API
"Java,Angular.js"
"C# .NET,REST API,SQL Server 2014,ASP.NET3.1,Windows Commn foundation(WCF),English,Microsoft IIS"
Functional Testing
Functional Testing
Functional Testing
Core Java
"Spring,Core Java"
"XML,Spring,SQL,Core Java"
Pega
Informatica MDM (formerly Syperian)
MS/Windows Dev OPS
MS/Windows Dev OPS
Selenium
Selenium
Thunderhead
SAS
"Cards Acquiring,UML,Automation - Chef, Puppet"
"J2EE,Spring,Hibernate,Agile"
"Java,Selenium,Test Automation,C#,Cucumber, Behat"
"Selenium,Test Automation,Cucumber, Behat,Java 7"
PMO (Project)
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
Agile
Java
Microsoft Dynamics CRM
"Business Analytics,Cards Issuing"
"Business Analytics,Cards Issuing"
"Project Management Framework,JDE Project Management Contract and Service Billing"
Kafka
Spring
Mulesoft ESB
BPM
BPM
Angular.js
Pega
